trial,scenario_index,scenario_name,planner_id,obstacle_x,obstacle_y,obstacle_z,obstacle_size_x,obstacle_size_y,obstacle_size_z,final_state,pipeline_state,initial_x,initial_y,initial_z,max_z,final_x,final_y,final_z,lift_delta_m,place_error_m,final_tilt_deg,direct_path_fraction,direct_path_unchecked_fraction,direct_path_blocked,ompl_planning_time_s,ompl_joint_path_length_rad,elapsed_s,failure_category,reason
40,10,center_tall_barrier,PRMkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,0.8920525989521535,0.4980331221932294,-0.29823171886367184,0.7599999736276565,0.1320603083630444,0.002644886856664403,0.00011101684086293558,0.3111111111111111,1.0,True,0.103701207,9.152920941005974,75.87367988500046,,physical lift and upright placement verified
41,11,positive_y_barrier,PRMkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.8885178609423711,0.5000018028701922,-0.2999797960626599,0.7599999883760137,0.12852557035326195,2.0284219484354517e-05,6.557959812547711e-06,0.35555555555555557,1.0,True,0.05156296,8.794769154552299,66.42234341400035,,physical lift and upright placement verified
42,12,negative_y_barrier,PRMkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,0.1,0.7599922905891091,1.317505938867485,0.4994764322334181,-0.2994810625349297,0.7599999848622189,0.5575136482783759,0.0007371697898627734,1.3309014001239913e-05,0.35555555555555557,1.0,True,0.040174093,7.985147288887515,69.21619030900001,,physical lift and upright placement verified
43,13,center_tall_barrier,PRMkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,1.3417083660642506,0.500289515437519,-0.30025817178288017,0.7599999349807572,0.5817160754751415,0.0003879070278621419,0.00010610177310695766,0.3111111111111111,1.0,True,0.050058909,8.502385677685533,70.97499293999863,,physical lift and upright placement verified
44,14,positive_y_barrier,PRMkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.8862451528552762,0.4978498350907442,-0.29808305240214433,0.7599999761134936,0.12625286226616705,0.002880607094084527,1.3713635377634418e-05,0.35555555555555557,1.0,True,0.037199803000000004,6.1479378384961025,52.99123068600056,,physical lift and upright placement verified
45,15,negative_y_barrier,PRMkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,0.1,0.7599922905891091,1.3122892804706696,0.4997000086807812,-0.2997048982176663,0.7599998719958786,0.5522969898815605,0.00042080859060647237,0.00011125951525004452,0.35555555555555557,1.0,True,0.025014766,8.009016624402905,69.07538437699986,,physical lift and upright placement verified
46,16,center_tall_barrier,PRMkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,1.1558388660459957,0.4990675407987797,-0.29904099191230676,0.759999949300704,0.3958465754568866,0.0013376010903000425,4.9585068295414944e-05,0.3111111111111111,1.0,True,0.037620756,10.311018031484373,77.78241625600094,,physical lift and upright placement verified
47,17,positive_y_barrier,PRMkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.8986710209506955,0.49998138461206165,-0.30000143473437146,0.7599999533351587,0.1386787303615864,1.8670653668773595e-05,7.335500745653167e-05,0.35555555555555557,1.0,True,0.037217985999999995,8.788445529980923,66.5239115910008,,physical lift and upright placement verified
48,18,negative_y_barrier,PRMkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,0.1,0.7599922905891091,1.3114890563598065,0.49891028756340694,-0.2991499763611058,0.7599999831414335,0.5514967657706974,0.0013820323373310481,1.2835032264144346e-05,0.35555555555555557,1.0,True,0.03849245,8.080911106129943,69.58711341699927,,physical lift and upright placement verified
49,19,center_tall_barrier,PRMkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,1.292155596669157,0.49910052206351924,-0.29910955841341835,0.7599999790253975,0.5321633060800478,0.0012656803616117492,1.7245382313122805e-05,0.3111111111111111,1.0,True,0.047468066,8.609703529217597,80.69626598700052,,physical lift and upright placement verified
50,20,positive_y_barrier,PRMkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.8975553798163229,0.49870365876850015,-0.29872852668615285,0.7599999565584787,0.13756308922721383,0.0018158042235326872,8.736069612065117e-05,0.35555555555555557,1.0,True,0.038950683,6.355234360256546,52.660818362999635,,physical lift and upright placement verified
51,21,negative_y_barrier,PRMkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,0.1,0.7599922905891091,1.1366628180212475,0.5117479099402229,-0.2795835270792162,0.7599999405243137,0.37667052743213836,0.023555164072708634,8.527912413504834e-05,0.35555555555555557,1.0,True,0.140629689,9.938832132603036,81.60274452900012,,physical lift and upright placement verified
52,22,center_tall_barrier,PRMkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,1.0512513748380985,0.49898370289218646,-0.2989761397361488,0.7599999822456726,0.2912590842489894,0.0014426190250924997,1.870524340221744e-05,0.3111111111111111,1.0,True,0.063233202,10.85874449927748,81.84702057600043,,physical lift and upright placement verified
53,23,positive_y_barrier,PRMkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.8941286021627994,0.4987635330838509,-0.29907417147393867,0.7599999747604481,0.13413631157369033,0.0015446711284403435,0.00011300493282346689,0.35555555555555557,1.0,True,0.037161845,6.102637501351184,54.175428192000254,,physical lift and upright placement verified
54,24,negative_y_barrier,PRMkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,0.1,0.7599922905891091,1.2769790622515973,0.5086764936837095,-0.2986675624071066,0.7599999787825187,0.5169867716624882,0.008778207822947474,7.423904288536384e-05,0.35555555555555557,1.0,True,0.047321791,7.972714952766182,67.26060335900002,,physical lift and upright placement verified
55,25,center_tall_barrier,PRMkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,0.9018408533553917,0.5002726383223025,-0.299695674522747,0.759999848900958,0.14184856276628255,0.0004085898600358548,0.00011070122731496286,0.3111111111111111,1.0,True,0.098099193,9.635242628928186,73.14594541899896,,physical lift and upright placement verified
56,26,positive_y_barrier,PRMkConfigDefault,0.37,0.08,0.17,0.12,0.2,0.34,SUCCESS,SUCCESS,0.54,-0.1,0.7599922905891091,0.8874523793800523,0.4990258496231747,-0.2992052571097123,0.7599999402703005,0.12746008879094317,0.001257213276218218,0.00010121449667010586,0.35555555555555557,1.0,True,0.041165320000000005,6.279323751849698,54.04243210099958,,physical lift and upright placement verified
57,27,negative_y_barrier,PRMkConfigDefault,0.37,-0.08,0.17,0.12,0.2,0.34,FAILED,FAILED,0.54,0.1,0.7599922905891091,0.7599994211828185,0.54,0.1,0.7599994211828185,,,,0.35555555555555557,1.0,True,0.0,6.239576420438671,40.943617349001215,cartesian_motion,"pick pipeline failed: cartesian_approach: fraction=0.442, required=0.980, moveit_error_code=1"
58,28,center_tall_barrier,PRMkConfigDefault,0.37,0.0,0.18,0.12,0.18,0.36,SUCCESS,SUCCESS,0.55,2.0007447406531074e-20,0.7599922905891091,1.0689743205982474,0.4869997153202525,-0.29156781345536376,0.7599999249640099,0.30898203000913826,0.015495456485165338,9.078147519024578e-05,0.3111111111111111,1.0,True,0.064160578,9.497563327025846,70.9559275369993,,physical lift and upright placement verified
